test_case,quantity,method_name,total_time,cumulative_time,per_call_time
HST,100,Start,5.8e-06,0.0018394000000000001,0.0018394000000000001
HST,100,CreateTree,1.8000000000000001e-06,0.0014305000000000001,0.0014305000000000001
HST,100,CreateTreeAux,7.850000000000001e-05,0.0014216,2.2565079365079367e-05
HST,100,CreateTreeAux,7.850000000000001e-05,0.0014216,2.2565079365079367e-05
HST,100,Start,2.6e-06,0.0016888,0.0016888
HST,100,CreateTree,1.5e-06,0.0012966000000000002,0.0012966000000000002
HST,100,CreateTreeAux,6.0200000000000006e-05,0.0012907,2.048730158730159e-05
HST,100,CreateTreeAux,6.0200000000000006e-05,0.0012907,2.048730158730159e-05
HST,100,Start,2.6e-06,0.0019218000000000002,0.0019218000000000002
HST,100,CreateTree,1.9e-06,0.00158,0.00158
HST,100,CreateTreeAux,6.75e-05,0.001574,2.4984126984126986e-05
HST,100,CreateTreeAux,6.75e-05,0.001574,2.4984126984126986e-05
HST,100,Start,3e-06,0.0019549000000000003,0.0019549000000000003
HST,100,CreateTree,1.7e-06,0.0015684000000000002,0.0015684000000000002
HST,100,CreateTreeAux,6.43e-05,0.0015617,2.478888888888889e-05
HST,100,CreateTreeAux,6.43e-05,0.0015617,2.478888888888889e-05
HST,100,Start,3.4e-06,0.0018684,0.0018684
HST,100,CreateTree,1.5e-06,0.0014231,0.0014231
HST,100,CreateTreeAux,6.37e-05,0.0014149000000000002,2.245873015873016e-05
HST,100,CreateTreeAux,6.37e-05,0.0014149000000000002,2.245873015873016e-05
HST,100,Start,5.4e-06,0.0018704000000000001,0.0018704000000000001
HST,100,CreateTree,0.00016690000000000002,0.0015265,0.0015265
HST,100,CreateTreeAux,6e-05,0.0013552,2.151111111111111e-05
HST,100,CreateTreeAux,6e-05,0.0013552,2.151111111111111e-05
HST,100,Start,3.6000000000000003e-06,0.0024947000000000003,0.0024947000000000003
HST,100,CreateTree,1.8000000000000001e-06,0.002076,0.002076
HST,100,CreateTreeAux,7.03e-05,0.0020667000000000003,3.280476190476191e-05
HST,100,CreateTreeAux,7.03e-05,0.0020667000000000003,3.280476190476191e-05
HST,100,Start,6.1e-06,0.0023852,0.0023852
HST,100,CreateTree,2.1000000000000002e-06,0.0015637000000000001,0.0015637000000000001
HST,100,CreateTreeAux,7.09e-05,0.0015524,2.4641269841269843e-05
HST,100,CreateTreeAux,7.09e-05,0.0015524,2.4641269841269843e-05
HST,100,Start,3e-06,0.0016777,0.0016777
HST,100,CreateTree,1.3e-06,0.0013194,0.0013194
HST,100,CreateTreeAux,6.26e-05,0.0013130000000000001,2.0841269841269845e-05
HST,100,CreateTreeAux,6.26e-05,0.0013130000000000001,2.0841269841269845e-05
HST,100,Start,4.000000000000001e-06,0.0023605,0.0023605
HST,100,CreateTree,2.0000000000000003e-06,0.0018319,0.0018319
HST,100,CreateTreeAux,7.2e-05,0.0018228,2.8933333333333333e-05
HST,100,CreateTreeAux,7.2e-05,0.0018228,2.8933333333333333e-05
HST,100,Start,2.8000000000000003e-06,0.0016716,0.0016716
HST,100,CreateTree,1.4000000000000001e-06,0.0013154,0.0013154
HST,100,CreateTreeAux,6.26e-05,0.0013092000000000002,2.0780952380952382e-05
HST,100,CreateTreeAux,6.26e-05,0.0013092000000000002,2.0780952380952382e-05
HST,100,Start,2.5e-06,0.0016214,0.0016214
HST,100,CreateTree,1.4000000000000001e-06,0.0012802,0.0012802
HST,100,CreateTreeAux,5.7300000000000004e-05,0.001275,2.023809523809524e-05
HST,100,CreateTreeAux,5.7300000000000004e-05,0.001275,2.023809523809524e-05
HST,100,Start,3.2000000000000003e-06,0.0018337000000000002,0.0018337000000000002
HST,100,CreateTree,2.4000000000000003e-06,0.0014037000000000001,0.0014037000000000001
HST,100,CreateTreeAux,5.9300000000000005e-05,0.001394,2.2126984126984126e-05
HST,100,CreateTreeAux,5.9300000000000005e-05,0.001394,2.2126984126984126e-05
HST,100,Start,2.8000000000000003e-06,0.0019326,0.0019326
HST,100,CreateTree,1.6000000000000001e-06,0.0015581000000000002,0.0015581000000000002
HST,100,CreateTreeAux,6.65e-05,0.0015508000000000002,2.461587301587302e-05
HST,100,CreateTreeAux,6.65e-05,0.0015508000000000002,2.461587301587302e-05
HST,100,Start,3.3e-06,0.0025380000000000003,0.0025380000000000003
HST,100,CreateTree,1.6000000000000001e-06,0.0021652,0.0021652
HST,100,CreateTreeAux,6.3e-05,0.0021577000000000002,3.4249206349206355e-05
HST,100,CreateTreeAux,6.3e-05,0.0021577000000000002,3.4249206349206355e-05
HST,100,Start,4.6e-06,0.0018452000000000002,0.0018452000000000002
HST,100,CreateTree,1.8000000000000001e-06,0.0013984000000000002,0.0013984000000000002
HST,100,CreateTreeAux,6.0400000000000004e-05,0.0013879,2.203015873015873e-05
HST,100,CreateTreeAux,6.0400000000000004e-05,0.0013879,2.203015873015873e-05
HST,100,Start,3.2000000000000003e-06,0.0016908000000000001,0.0016908000000000001
HST,100,CreateTree,1.7e-06,0.0013326000000000002,0.0013326000000000002
HST,100,CreateTreeAux,6.16e-05,0.0013258,2.1044444444444444e-05
HST,100,CreateTreeAux,6.16e-05,0.0013258,2.1044444444444444e-05
HST,100,Start,2.7e-06,0.0018862000000000002,0.0018862000000000002
HST,100,CreateTree,1.4000000000000001e-06,0.0015456,0.0015456
HST,100,CreateTreeAux,6.14e-05,0.0015403,2.444920634920635e-05
HST,100,CreateTreeAux,6.14e-05,0.0015403,2.444920634920635e-05
HST,100,Start,3.4e-06,0.0019773,0.0019773
HST,100,CreateTree,1.2000000000000002e-06,0.0014584,0.0014584
HST,100,CreateTreeAux,6.48e-05,0.0014521,2.304920634920635e-05
HST,100,CreateTreeAux,6.48e-05,0.0014521,2.304920634920635e-05
HST,100,Start,2.4000000000000003e-06,0.0015928000000000001,0.0015928000000000001
HST,100,CreateTree,1.5e-06,0.0012527,0.0012527
HST,100,CreateTreeAux,5.97e-05,0.0012464000000000002,1.9784126984126985e-05
HST,100,CreateTreeAux,5.97e-05,0.0012464000000000002,1.9784126984126985e-05
HST,100,Start,2.4000000000000003e-06,0.0018709000000000002,0.0018709000000000002
HST,100,CreateTree,1.6000000000000001e-06,0.0015384,0.0015384
HST,100,CreateTreeAux,8.460000000000001e-05,0.0015328000000000002,2.4330158730158733e-05
HST,100,CreateTreeAux,8.460000000000001e-05,0.0015328000000000002,2.4330158730158733e-05
HST,100,Start,2.9e-06,0.0017702000000000002,0.0017702000000000002
HST,100,CreateTree,1.6000000000000001e-06,0.0013414000000000002,0.0013414000000000002
HST,100,CreateTreeAux,6.31e-05,0.0013328,2.1155555555555556e-05
HST,100,CreateTreeAux,6.31e-05,0.0013328,2.1155555555555556e-05
HST,100,Start,2.9e-06,0.0021845000000000002,0.0021845000000000002
HST,100,CreateTree,1.6000000000000001e-06,0.0018175,0.0018175
HST,100,CreateTreeAux,6.96e-05,0.0018119000000000002,2.8760317460317463e-05
HST,100,CreateTreeAux,6.96e-05,0.0018119000000000002,2.8760317460317463e-05
HST,100,Start,3e-06,0.0018200000000000002,0.0018200000000000002
HST,100,CreateTree,1.6000000000000001e-06,0.0014808,0.0014808
HST,100,CreateTreeAux,6.41e-05,0.0014749000000000001,2.3411111111111112e-05
HST,100,CreateTreeAux,6.41e-05,0.0014749000000000001,2.3411111111111112e-05
HST,100,Start,2.8000000000000003e-06,0.0017723,0.0017723
HST,100,CreateTree,1.5e-06,0.0013849,0.0013849
HST,100,CreateTreeAux,6.25e-05,0.0013779,2.187142857142857e-05
HST,100,CreateTreeAux,6.25e-05,0.0013779,2.187142857142857e-05
HST,100,Start,3.1000000000000004e-06,0.0021252000000000003,0.0021252000000000003
HST,100,CreateTree,1.6000000000000001e-06,0.0017161000000000001,0.0017161000000000001
HST,100,CreateTreeAux,8.010000000000001e-05,0.0017099,2.7141269841269843e-05
HST,100,CreateTreeAux,8.010000000000001e-05,0.0017099,2.7141269841269843e-05
HST,100,Start,3.5000000000000004e-06,0.0028412000000000003,0.0028412000000000003
HST,100,CreateTree,1.9e-06,0.0023626000000000003,0.0023626000000000003
HST,100,CreateTreeAux,0.00010960000000000001,0.0023553000000000003,3.738571428571429e-05
HST,100,CreateTreeAux,0.00010960000000000001,0.0023553000000000003,3.738571428571429e-05
HST,100,Start,4.000000000000001e-06,0.002454,0.002454
HST,100,CreateTree,2.0000000000000003e-06,0.0019415,0.0019415
HST,100,CreateTreeAux,9.080000000000001e-05,0.0019328000000000001,3.0679365079365084e-05
HST,100,CreateTreeAux,9.080000000000001e-05,0.0019328000000000001,3.0679365079365084e-05
HST,100,Start,4.2000000000000004e-06,0.0034526,0.0034526
HST,100,CreateTree,2.3e-06,0.0028721000000000003,0.0028721000000000003
HST,100,CreateTreeAux,0.0001321,0.0028632,4.5447619047619054e-05
