test_case,quantity,method_name,total_time,cumulative_time,per_call_time
HST,100,Start,7.9e-06,0.0017547,0.0017547
HST,100,SplitPoints,0.0007561,0.0012559000000000001,4.051290322580645e-05
HST,100,CreateTree,3e-06,0.0013578000000000002,0.0013578000000000002
HST,100,CreateTreeAux,7.61e-05,0.0013413000000000001,2.1290476190476192e-05
HST,100,Start,3.5000000000000004e-06,0.0016253,0.0016253
HST,100,SplitPoints,0.0007062,0.0012005000000000002,3.8725806451612906e-05
HST,100,CreateTree,1.5e-06,0.0012699,0.0012699
HST,100,CreateTreeAux,5.5400000000000005e-05,0.0012640000000000001,2.0063492063492065e-05
HST,100,Start,3.5000000000000004e-06,0.0019239,0.0019239
HST,100,SplitPoints,0.0007657,0.0013031000000000002,4.203548387096775e-05
HST,100,CreateTree,1.6000000000000001e-06,0.0013838000000000001,0.0013838000000000001
HST,100,CreateTreeAux,6.230000000000001e-05,0.001374,2.180952380952381e-05
HST,100,Start,3e-06,0.0016846,0.0016846
HST,100,SplitPoints,0.0007394000000000001,0.0012571000000000001,4.055161290322581e-05
HST,100,CreateTree,1.5e-06,0.0013321000000000001,0.0013321000000000001
HST,100,CreateTreeAux,5.9600000000000005e-05,0.0013249000000000002,2.1030158730158734e-05
HST,100,Start,2.5e-06,0.0016314,0.0016314
HST,100,SplitPoints,0.0007212000000000001,0.0012149,3.919032258064516e-05
HST,100,CreateTree,1.1e-06,0.0012845,0.0012845
HST,100,CreateTreeAux,5.67e-05,0.0012792,2.0304761904761908e-05
HST,100,Start,2.1000000000000002e-06,0.0016573,0.0016573
HST,100,SplitPoints,0.0007205,0.0012401,4.000322580645162e-05
HST,100,CreateTree,1.1e-06,0.0013113,0.0013113
HST,100,CreateTreeAux,5.7900000000000005e-05,0.001306,2.073015873015873e-05
HST,100,Start,2.3e-06,0.0016226,0.0016226
HST,100,SplitPoints,0.0007113,0.0012115000000000001,3.908064516129033e-05
HST,100,CreateTree,1.0000000000000002e-06,0.0012805000000000002,0.0012805000000000002
HST,100,CreateTreeAux,5.7100000000000006e-05,0.001276,2.0253968253968256e-05
HST,100,Start,2.4000000000000003e-06,0.0016285000000000002,0.0016285000000000002
HST,100,SplitPoints,0.0007033,0.001199,3.867741935483871e-05
HST,100,CreateTree,1.3e-06,0.0012705000000000001,0.0012705000000000001
HST,100,CreateTreeAux,5.7700000000000007e-05,0.0012652000000000002,2.0082539682539684e-05
HST,100,Start,2.1000000000000002e-06,0.0015815,0.0015815
HST,100,SplitPoints,0.0006919000000000001,0.0011671000000000001,3.76483870967742e-05
HST,100,CreateTree,1.2000000000000002e-06,0.0012354,0.0012354
HST,100,CreateTreeAux,5.58e-05,0.0012304,1.953015873015873e-05
HST,100,Start,2.1000000000000002e-06,0.0015718000000000002,0.0015718000000000002
HST,100,SplitPoints,0.0006816000000000001,0.0011608,3.744516129032258e-05
HST,100,CreateTree,1.2000000000000002e-06,0.0012287,0.0012287
HST,100,CreateTreeAux,5.520000000000001e-05,0.0012238000000000001,1.9425396825396827e-05
HST,100,Start,2.3e-06,0.0016177000000000001,0.0016177000000000001
HST,100,SplitPoints,0.0006787000000000001,0.0011380000000000001,3.670967741935484e-05
HST,100,CreateTree,1.2000000000000002e-06,0.0012072,0.0012072
HST,100,CreateTreeAux,5.520000000000001e-05,0.0012006,1.9057142857142857e-05
HST,100,Start,2.4000000000000003e-06,0.0023520000000000004,0.0023520000000000004
HST,100,SplitPoints,0.0011549000000000002,0.0018850000000000002,6.080645161290323e-05
HST,100,CreateTree,1.3e-06,0.00196,0.00196
HST,100,CreateTreeAux,6.050000000000001e-05,0.0019541000000000003,3.101746031746032e-05
HST,100,Start,3.3e-06,0.0022761,0.0022761
HST,100,SplitPoints,0.001049,0.0017055000000000002,5.5016129032258073e-05
HST,100,CreateTree,1.7e-06,0.001842,0.001842
HST,100,CreateTreeAux,0.00012100000000000001,0.0018359000000000001,2.9141269841269844e-05
HST,100,Start,2.4000000000000003e-06,0.0015861,0.0015861
HST,100,SplitPoints,0.0007063000000000001,0.0011723,3.781612903225807e-05
HST,100,CreateTree,1.1e-06,0.0012406000000000001,0.0012406000000000001
HST,100,CreateTreeAux,5.4800000000000004e-05,0.0012348,1.9600000000000002e-05
HST,100,Start,2.1000000000000002e-06,0.0015663,0.0015663
HST,100,SplitPoints,0.0006879000000000001,0.0011558,3.7283870967741934e-05
HST,100,CreateTree,1.3e-06,0.0012231,0.0012231
HST,100,CreateTreeAux,5.41e-05,0.0012175,1.9325396825396828e-05
HST,100,Start,2.8000000000000003e-06,0.0015895000000000002,0.0015895000000000002
HST,100,SplitPoints,0.0007011000000000001,0.0011886000000000002,3.8341935483870975e-05
HST,100,CreateTree,1.1e-06,0.001258,0.001258
HST,100,CreateTreeAux,5.69e-05,0.0012531,1.989047619047619e-05
HST,100,Start,2.3e-06,0.0015531000000000002,0.0015531000000000002
HST,100,SplitPoints,0.0006794,0.0011468000000000001,3.6993548387096776e-05
HST,100,CreateTree,1.0000000000000002e-06,0.0012155,0.0012155
HST,100,CreateTreeAux,5.61e-05,0.0012106,1.9215873015873018e-05
HST,100,Start,2.3e-06,0.0016719,0.0016719
HST,100,SplitPoints,0.0007565,0.0012438,4.012258064516129e-05
HST,100,CreateTree,1.3e-06,0.0013415,0.0013415
HST,100,CreateTreeAux,8.48e-05,0.0013365,2.1214285714285713e-05
HST,100,Start,2.5e-06,0.0017195,0.0017195
HST,100,SplitPoints,0.0007927,0.0013155,4.2435483870967744e-05
HST,100,CreateTree,1.3e-06,0.0013855,0.0013855
HST,100,CreateTreeAux,5.7400000000000006e-05,0.0013805,2.1912698412698412e-05
HST,100,Start,2.22e-05,0.0021768,0.0021768
HST,100,SplitPoints,0.0008605,0.0015156000000000002,4.889032258064517e-05
HST,100,CreateTree,1.4000000000000001e-06,0.0016642,0.0016642
HST,100,CreateTreeAux,0.00011090000000000001,0.0016349000000000001,2.595079365079365e-05
HST,100,Start,2.5e-06,0.001588199,0.001588199
HST,100,SplitPoints,0.0006955,0.001187399,3.83031935483871e-05
HST,100,CreateTree,1.1e-06,0.001255299,0.001255299
HST,100,CreateTreeAux,5.5400000000000005e-05,0.001250199,1.984442857142857e-05
HST,100,Start,2.2e-06,0.0015470000000000002,0.0015470000000000002
HST,100,SplitPoints,0.0006944000000000001,0.0011536,3.721290322580645e-05
HST,100,CreateTree,1.0000000000000002e-06,0.0012208000000000002,0.0012208000000000002
HST,100,CreateTreeAux,5.42e-05,0.001216,1.9301587301587303e-05
HST,100,Start,2.3e-06,0.0016328,0.0016328
HST,100,SplitPoints,0.0007007000000000001,0.0011715,3.779032258064516e-05
HST,100,CreateTree,1.3e-06,0.0012412,0.0012412
HST,100,CreateTreeAux,5.58e-05,0.0012356000000000001,1.9612698412698413e-05
HST,100,Start,2.1000000000000002e-06,0.0015791000000000002,0.0015791000000000002
HST,100,SplitPoints,0.0007039,0.0011864,3.827096774193548e-05
HST,100,CreateTree,1.3e-06,0.0012554,0.0012554
HST,100,CreateTreeAux,5.64e-05,0.0012501,1.9842857142857143e-05
HST,100,Start,2.0000000000000003e-06,0.0015284,0.0015284
HST,100,SplitPoints,0.0006757,0.0011344,3.659354838709677e-05
HST,100,CreateTree,1.1e-06,0.0011991,0.0011991
HST,100,CreateTreeAux,5.3200000000000006e-05,0.0011948,1.8965079365079364e-05
HST,100,Start,2.1000000000000002e-06,0.0016154000000000001,0.0016154000000000001
HST,100,SplitPoints,0.0007249,0.0012205,3.937096774193549e-05
HST,100,CreateTree,1.1e-06,0.0012879,0.0012879
HST,100,CreateTreeAux,5.53e-05,0.0012831000000000001,2.036666666666667e-05
HST,100,Start,2.8000000000000003e-06,0.0015944000000000002,0.0015944000000000002
HST,100,SplitPoints,0.0006917000000000001,0.0011556000000000001,3.727741935483871e-05
HST,100,CreateTree,1.0000000000000002e-06,0.0012268000000000001,0.0012268000000000001
HST,100,CreateTreeAux,5.8e-05,0.0012218,1.9393650793650797e-05
HST,100,Start,2.5e-06,0.0017277000000000002,0.0017277000000000002
HST,100,SplitPoints,0.0007459000000000001,0.0013029,4.202903225806452e-05
HST,100,CreateTree,1.2000000000000002e-06,0.0013729,0.0013729
HST,100,CreateTreeAux,5.7100000000000006e-05,0.0013671,2.17e-05
HST,100,Start,2.4000000000000003e-06,0.0015392000000000001,0.0015392000000000001
HST,100,SplitPoints,0.0006671,0.0011197000000000002,3.611935483870968e-05
HST,100,CreateTree,1.1e-06,0.0011869,0.0011869
HST,100,CreateTreeAux,5.4000000000000005e-05,0.0011815,1.8753968253968253e-05
HST,100,Start,2.2e-06,0.0015271000000000002,0.0015271000000000002
HST,100,SplitPoints,0.0006809,0.0011332,3.655483870967742e-05
HST,100,CreateTree,1.2000000000000002e-06,0.0011995,0.0011995
HST,100,CreateTreeAux,5.41e-05,0.0011949,1.8966666666666666e-05
HST,100,Start,2.2e-06,0.001554,0.001554
HST,100,SplitPoints,0.0006834,0.0011473,3.700967741935484e-05
HST,100,CreateTree,1.0000000000000002e-06,0.0012169000000000001,0.0012169000000000001
HST,100,CreateTreeAux,5.7e-05,0.0012123000000000001,1.9242857142857145e-05
HST,100,Start,2.6e-06,0.0015512000000000002,0.0015512000000000002
HST,100,SplitPoints,0.0006810000000000001,0.0011403000000000001,3.678387096774194e-05
HST,100,CreateTree,1.1e-06,0.0012174,0.0012174
HST,100,CreateTreeAux,6.48e-05,0.0012121,1.9239682539682542e-05
HST,100,Start,2.3e-06,0.001573799,0.001573799
HST,100,SplitPoints,0.0007145000000000001,0.0011778000000000001,3.799354838709678e-05
HST,100,CreateTree,1.0000000000000002e-06,0.0012452000000000001,0.0012452000000000001
HST,100,CreateTreeAux,5.5100000000000004e-05,0.0012404,1.9688888888888888e-05
HST,100,Start,2.4000000000000003e-06,0.0015391,0.0015391
HST,100,SplitPoints,0.0006654,0.0011234,3.623870967741936e-05
HST,100,CreateTree,1.1e-06,0.0011908,0.0011908
HST,100,CreateTreeAux,5.41e-05,0.0011853,1.8814285714285716e-05
HST,100,Start,2.4000000000000003e-06,0.0027760000000000003,0.0027760000000000003
HST,100,SplitPoints,0.0009367000000000001,0.0022370000000000003,7.216129032258065e-05
HST,100,CreateTree,1.7e-06,0.0023302,0.0023302
HST,100,CreateTreeAux,7.850000000000001e-05,0.0023234,3.6879365079365085e-05
HST,100,Start,2.8000000000000003e-06,0.0016422000000000001,0.0016422000000000001
HST,100,SplitPoints,0.0007097000000000001,0.0012339,3.980322580645161e-05
HST,100,CreateTree,1.1e-06,0.0013042000000000002,0.0013042000000000002
HST,100,CreateTreeAux,5.69e-05,0.0012991,2.0620634920634923e-05
HST,100,Start,2.2e-06,0.001533,0.001533
HST,100,SplitPoints,0.0006841000000000001,0.001139,3.674193548387097e-05
HST,100,CreateTree,1.1e-06,0.0012049,0.0012049
HST,100,CreateTreeAux,5.380000000000001e-05,0.0012003,1.9052380952380955e-05
HST,100,Start,2.0000000000000003e-06,0.0016147000000000002,0.0016147000000000002
HST,100,SplitPoints,0.0007079,0.0011827,3.8151612903225806e-05
HST,100,CreateTree,1.4000000000000001e-06,0.0012510000000000002,0.0012510000000000002
HST,100,CreateTreeAux,5.61e-05,0.0012462,1.978095238095238e-05
HST,100,Start,2.0000000000000003e-06,0.0018711,0.0018711
HST,100,SplitPoints,0.0008164,0.0013781000000000002,4.4454838709677424e-05
HST,100,CreateTree,1.1e-06,0.0014968000000000002,0.0014968000000000002
HST,100,CreateTreeAux,0.000106,0.0014917,2.3677777777777778e-05
HST,100,Start,2.2e-06,0.0015544,0.0015544
HST,100,SplitPoints,0.0006763,0.0011558,3.7283870967741934e-05
HST,100,CreateTree,1.2000000000000002e-06,0.0012265000000000002,0.0012265000000000002
HST,100,CreateTreeAux,5.8e-05,0.0012219000000000002,1.93952380952381e-05
HST,100,Start,2.1000000000000002e-06,0.0015088,0.0015088
HST,100,SplitPoints,0.0006672000000000001,0.001119,3.609677419354839e-05
HST,100,CreateTree,1.0000000000000002e-06,0.0011856,0.0011856
HST,100,CreateTreeAux,5.42e-05,0.0011809000000000001,1.8744444444444445e-05
HST,100,Start,2.3e-06,0.0015549000000000001,0.0015549000000000001
HST,100,SplitPoints,0.0006967000000000001,0.0011518000000000001,3.715483870967742e-05
HST,100,CreateTree,9.000000000000001e-07,0.0012178,0.0012178
HST,100,CreateTreeAux,5.3700000000000004e-05,0.0012132,1.925714285714286e-05
HST,100,Start,2.5e-06,0.001538,0.001538
